Experiment,Genotype,Environment,Repno,Yield
Experiment 1,G9,E6,2,74.81585639
Experiment 1,G17,E6,1,71.41799195
Experiment 1,G2,E6,2,51.52569907
Experiment 1,G15,E6,2,57.39074429
Experiment 1,G7,E6,2,55.20404135
Experiment 1,G15,E6,1,53.59919169
Experiment 1,G9,E6,1,75.37957809
Experiment 1,G5,E6,1,59.16562749
Experiment 1,G11,E6,1,63.39603342
Experiment 1,G1,E6,1,61.18229689
Experiment 1,G18,E6,2,49.75081587
Experiment 1,G20,E6,1,64.60719492
Experiment 1,G16,E6,1,61.76139414
Experiment 1,G11,E6,2,53.15223912
Experiment 1,G12,E6,1,60.36690535
Experiment 1,G8,E6,2,71.26608999
Experiment 1,G19,E6,2,73.62802097
Experiment 1,G7,E6,1,60.77062585
Experiment 1,G4,E6,2,76.99446009
Experiment 1,G4,E6,1,68.28182969
Experiment 1,G18,E6,1,57.81779087
Experiment 1,G5,E6,2,53.43904179
Experiment 1,G14,E6,1,57.37730183
Experiment 1,G16,E6,2,68.13348654
Experiment 1,G8,E6,1,62.71539389
Experiment 1,G5,E7,1,61.20579149
Experiment 1,G9,E7,2,62.65769829
Experiment 1,G1,E7,1,60.27284769
Experiment 1,G4,E7,2,64.73161719
Experiment 1,G3,E7,1,51.66400989
Experiment 1,G15,E7,2,56.33081069
Experiment 1,G14,E7,1,56.88346913
Experiment 1,G12,E7,2,54.87080465
Experiment 1,G7,E7,2,58.60481035
Experiment 1,G19,E7,1,65.22766057
Experiment 1,G6,E7,2,64.88318212
Experiment 1,G1,E7,2,59.02897219
Experiment 1,G18,E7,2,61.49365487
Experiment 1,G15,E7,1,58.92384129
Experiment 1,G18,E7,1,64.39761717
Experiment 1,G11,E7,1,63.74205832
Experiment 1,G10,E7,1,57.65674877
Experiment 1,G16,E7,2,65.42536214
Experiment 1,G10,E7,2,54.95858727
Experiment 1,G7,E7,1,60.05671715
Experiment 1,G2,E7,1,59.83356807
Experiment 1,G13,E7,2,67.661027
Experiment 1,G6,E7,1,68.92811952
Experiment 1,G16,E7,1,63.14326324
Experiment 1,G13,E7,1,67.661027
Experiment 1,G20,E7,1,55.75508392
Experiment 1,G3,E7,2,58.19892879
Experiment 1,G8,E7,2,60.89485979
Experiment 1,G5,E7,2,61.51672319
Experiment 1,G17,E7,2,54.14366165
Experiment 1,G9,E7,1,65.66694019
